2026-08-16 17:08:27,859 | DEBUG    | tzlocal | Looking up time zone info from registry
2026-08-16 17:08:27,869 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-08-16 17:08:27,970 | INFO     | apscheduler.scheduler | Added job "cleanup_job" to job store "default"
2026-08-16 17:08:27,971 | INFO     | apscheduler.scheduler | Scheduler started
2026-08-16 17:08:27,972 | DEBUG    | apscheduler.scheduler | Looking for jobs to run
2026-08-16 17:08:27,972 | INFO     | cloudvault.schedular | Cleanup scheduler started.
2026-08-16 17:08:27,973 | DEBUG    | apscheduler.scheduler | Next wakeup is due at 2026-08-17 07:30:00+05:30 (in 51692.026730 seconds)
2026-08-16 17:08:30,475 | INFO     | cloudvault.request | GET / -> 404 (59.50 ms)
2026-08-16 17:08:37,666 | INFO     | cloudvault.request | GET /docs -> 200 (0.39 ms)
2026-08-16 17:08:37,884 | INFO     | cloudvault.request | GET /openapi.json -> 200 (147.44 ms)
2026-08-16 17:08:57,891 | INFO     | cloudvault.request | POST /auth/login -> 200 (301.59 ms)
2026-08-16 17:09:22,877 | INFO     | cloudvault.request | GET /users/me -> 200 (24.71 ms)
2026-08-16 17:09:29,318 | INFO     | cloudvault.request | GET /folders/root -> 200 (31.76 ms)
2026-08-16 17:09:47,207 | INFO     | cloudvault.request | GET /folders/16198dbb-4d62-414d-813b-5456939a5b41/contents -> 200 (17.74 ms)
2026-08-16 17:10:25,170 | INFO     | cloudvault.request | PATCH /folders/84401adc-d1d0-4acd-afda-bc686f9d0bf4/move -> 200 (44.69 ms)
2026-08-16 17:10:37,656 | INFO     | cloudvault.request | PATCH /folders/84401adc-d1d0-4acd-afda-bc686f9d0bf4/move -> 200 (28.57 ms)
2026-08-16 17:10:43,469 | INFO     | cloudvault.request | GET /folders/root -> 200 (10.54 ms)
